field_id,document,form_code,field,value_2023,value_2024,value_2025,change_class,rule_for_2026,confidence
ENV-001,환경실적,EP-603-03,직무기술서 작성일,2023.03.20,,2025.03.20,DATE_ROLL,set 2026.03.xx (03월 셋째주 패턴),HIGH
ENV-002,환경실적,EP-603-03,직무 수행 내용 (환경경영책임자),정책보좌/방침 입안/내부심사 검토,,동일,STATIC,carry forward verbatim,HIGH
ENV-003,환경실적,EP-805-01,비상사태 발생일/종료일,2023.03.22,,2025.03.31,DATE_ROLL,set 2026 훈련일자 (03월말 패턴),HIGH
ENV-004,환경실적,EP-805-01,훈련 발생내용,식품제조 활동에 의한 화재발생 대비 모의 훈련,,동일(식품 잔존),DEFECT_INCOMPLETE_MIGRATION,2026에서 '제조 활동에 의한 화재발생 대비 모의 훈련'으로 통일,HIGH
ENV-005,환경실적,EP-901-01,모니터링 대상 1,소음/진동 · 주기 1년 · 소음진동규제법 제2조 · 업체의뢰 · 생산팀장,,동일,STATIC,carry forward; 법규 개정 여부만 확인,HIGH
ENV-006,환경실적,EP-901-01,모니터링 대상 2,폐기물 · 주기 월 · 폐기물관리법 제26조/시행규칙 제17조 · 발생량 측량,,동일,STATIC,carry forward; 법규 개정 여부만 확인,HIGH
ENV-007,환경실적,EP-901-01,작성일,2023.04.04,,2025.04.04,DATE_ROLL,set 2026.04.xx,HIGH
ENV-008,환경실적,EP-901-02,체크결과 (분진/소음),기준치 이하,,동일,STATIC,carry forward + 측정근거 첨부 권고,MEDIUM
ENV-009,환경실적,EP-901-02,조치사항 (쓰레기),분리수거함 제작/설치 요망,,동일(미해결),OPEN_ACTION_3YR,2026: 설치 완료 기록 또는 미이행 사유 필수 기재,HIGH
ENV-010,환경실적,EP-601-01,측면파악 공정 목록,원재료입고/자재/절단/용접/조립,,동일,STATIC,조직개편(연구개발) 반영 여부 인간확인 후 carry,MEDIUM
ENV-011,환경실적,EP-601-01,작성일자,2023.04.07,,2025.04.08,DATE_ROLL,set 2026.04.xx,HIGH
ENV-012,환경실적,EP-601-03,등록부-02 공정명,식품제조 활동/제작공정,,제조 활동/제작공정,CONTENT_EVOLVED,'제조' 용어 유지,HIGH
ENV-013,환경실적,EP-601-03,등록부-02 영향개요,식품 가공기계의 소음 진동,,제품 생산기계의 소음 진동,CONTENT_EVOLVED,'제품 생산기계' 유지,HIGH
ENV-014,환경실적,EP-601-03,등록부-02 평가결과 말미,– 식품가공의 중요성,,동일(식품가공 잔존),DEFECT_INCOMPLETE_MIGRATION,2026에서 '– 제품 생산의 중요성' 등으로 정정,HIGH
ENV-015,환경실적,EP-601-03,등록부-01 영향인자,식품제조 / 음식 폐기물,,제조 / 폐기물,CONTENT_EVOLVED,'제조/폐기물' 유지,HIGH
ENV-016,환경실적,EP-601-03,등록일자,2023.05.18,,2025.05.16,DATE_ROLL,set 2026.05.xx,HIGH
ENV-017,환경실적,EP-602-01/02,법규 목록,폐기물관리법·소음진동관리법 등,,동일,STATIC_LAW,2026: 최신 개정일 조회 후 개정일 컬럼만 갱신,HIGH
ENV-018,환경실적,EP-603-01/02,년간 환경목표/실천계획,연도표기 2023,,연도표기 2025,DATE_ROLL,2026 연도 갱신 + 실적란은 인간 입력,HIGH
QMS-001,품질실적,QP-705-01,문서관리대장 제정일,2023.03.10 (전 문서),2024.03.11 (전 문서),n/a,DATE_ROLL,2026 개정시 Rev.B 열에 일자 기입 (일괄 재제정 아님),HIGH
QMS-002,품질실적,경영검토서,검토기간,2023.03–2023.06,2024.01–2024.03,PATTERN_SHIFT,검토기간이 연초로 이동; 2026.01–2026.03 권장,MEDIUM
QMS-003,품질실적,경영검토서,품질목표,ISO 안정적 정착 + 원가절감 10%,동일,n/a,STATIC_2YR,3년째 동일 목표는 심사 지적 위험; 2026 목표 상향/구체화 권고,HIGH
QMS-004,품질실적,경영검토서,원가절감 실적,자료 부족으로 실질적 검토 미흡,동일,n/a,CHRONIC_UNRESOLVED,2026: 분기별 경비 데이터 산출 체계 우선 구축 필요,HIGH
QMS-005,품질실적,QP-501-01,년간목표 연도,2023,2024,n/a,DATE_ROLL,2026 갱신,HIGH
QMS-006,품질실적,QP-501-02,방침실천 작성일,03/16.2023,03/11.2024,n/a,DATE_ROLL,2026.03.xx,HIGH
QMS-007,품질실적,QP-501-02,원가절감 담당,구매팀,구매팀,n/a,ORG_MISMATCH,신조직명(제품생산&연구개발/제품허가) 반영 확인 필요,MEDIUM
QMS-008,품질실적,교육훈련계획서,교육과목 5종,개요이해/공통업무/주관업무/문서제개정/내부심사자,동일,n/a,STATIC_2YR,carry + 신설팀(제품허가) 대상 포함 여부 확인,HIGH
QMS-009,품질실적,자격등록대장,내부심사원 등록일,2023.05.15/05.14,2024.05.16/05.15,n/a,DATE_ROLL,2026.05.xx 갱신,HIGH
QMS-010,품질실적,심사계획서,작성팀/작성자,경영지원팀/무기명,제품허가/허민 + 경영지원팀/김현주,n/a,ORG_CHANGE,2026: 심사원 2인 체계 유지; 실명 기재 유지,HIGH
QMS-011,품질실적,심사일정표,피심사 부서,경영지원팀·생산팀,경영지원팀·제품생산&연구개발팀·제품허가팀(15:00-16:30 추가),n/a,ORG_CHANGE,2026: 3개팀 일정 구조 유지,HIGH
QMS-012,품질실적,심사결과보고서,부적합(경영지원),문서관리대장 미작성·교육결과보고서 미작성·환경측면 교육 요구,환경측면 교육 요구(잔존),n/a,RECURRING_FINDING,환경측면 실무자 교육은 2년 연속 지적 → 2026 최우선 시정 대상,HIGH
QMS-013,품질실적,심사결과보고서,부적합(생산계열),자재분류 관리대장 미작성,작성되었으나 세부 분류 미흡,n/a,PARTIAL_RESOLUTION,2026: 세부분류 완성 확인 문항 추가,HIGH
QMS-014,품질실적,심사결과보고서,부적합(신설팀),n/a,제품허가팀 문서관리대장 미작성 (신규),n/a,NEW_TEAM_REPEAT_PATTERN,신설팀은 문서관리대장 부적합을 반복 → 2026 신설/개편 조직 사전점검,HIGH
QMS-015,품질실적,개선요구통보서,발행 건수,2건(경영지원·생산),3건(+제품허가),n/a,ORG_CHANGE,2026: 팀 수만큼 발행 구조,MEDIUM
QMS-016,품질실적,위험성평가 보고서,보고일,2023.06.08,2023.06.08 (미갱신),n/a,DEFECT_STALE_CARRYFORWARD,2024 패키지에 2023 보고서가 그대로 잔존 → 2026 반드시 신규 평가 작성,HIGH
QMS-017,품질실적,성과지표 산출표,실행지표(●),납기준수율·원가절감·산업안전·불량률 3종·경영검토·고객불만·이윤률·매출달성·생산실적율 등 12개,동일,n/a,STATIC,비실행 지표 정리 또는 실행 확대 여부 인간결정,MEDIUM
QMS-018,품질실적,이슈 현황표,내부이슈,품질경영 인식 부족 등,동일,n/a,STATIC,조직개편·신사업 이슈 반영 갱신 권고,MEDIUM
