item_id,standard,form_code,form_name,fill_class,status,blocking_reason,pass_script_pattern,notes
F01,ISO14001,EP-901-01,모니터링/측정 계획서,AUTO_STATIC,DONE_VERIFIED,,clean_rebuild,14 cells verified in 2026 clean rebase; Hancom accepted
F02,ISO14001,DATES_BATCH1,EP-603-03/EP-901-01/EP-601-03 작성일·등록일,AUTO_DATE_ROLL,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),date_roll,3 dates written+verified; scope closed
F03,ISO14001,EP-901-02,모니터링/측정 Check Sheet,CONFIRM,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),ep90102_apply,scope closed
F04,ISO14001,EP-601-01,환경측면 파악표 1/2+2/2,AUTO_STATIC,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),aspect_apply,scope closed
F05,ISO14001,EP-601-03,환경영향 등록부 x2,AUTO_CONTENT_EVOLVED,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),register_duplication,scope closed
F06,ISO14001,EP-602-01,환경법규 등록대장,CONFIRM,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),legal_register_apply,scope closed
F07,ISO14001,EP-602-02,환경법규 점검표 x2,CONFIRM,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),legal_checklist_apply,scope closed
F08,ISO14001,EP-603-01,년간 환경목표,CONFIRM,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),goals_apply,scope closed
F09,ISO14001,EP-603-02,환경방침 실천계획서,CONFIRM,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),action_plan_apply,scope closed
F10,ISO14001,EP-603-03,환경 직무기술서 x2,MIXED,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),job_desc_apply,scope closed
F11,ISO14001,EP-805-02,비상사태 훈련 계획서,AUTO_STATIC,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),training_plan_apply,scope closed
F12,ISO14001,EP-805-01,비상사태 종료보고서,HUMAN_ONLY,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),none,scope closed
F13,ISO14001,EDU_PLAN,2026 환경교육훈련 계획서,AUTO_STATIC,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),edu_plan_apply,scope closed
F14,ISO14001,EDU_RESULTS,교육 결과 보고서 x3,HUMAN_ONLY,CLOSED_BY_USER,환경심사 종료 결정 (2026-07-08 검토세션),none,scope closed
F15,ISO14001,EP-804/EP-805-ORG,소화기/비상조직 양식,SOURCE_BLANK,DONE_BY_POLICY,original+source blank — stays blank,none,do not fill; verified original-blank
F16,ISO9001,QP_TEMPLATE_REBUILD,ISO9001 clean template rebuild,INFRA,SUPERSEDED_BY_V4,V4 분리본이 작업 기준본으로 확정 — rebuild 경로 폐기,iso9001_clean_rebuild,F17-F24 unblocked; work on V4 file
F17,ISO9001,QP-705-01,문서/양식 관리대장,AUTO_DATE_ROLL,DONE_VERIFIED,,doc_register_apply,2026-07-08 검토: 제정내역 수정 금지 확정 — 완료
F18,ISO9001,QP-501-01/02,년간목표+방침실천 x2,AUTO_CONTENT_EVOLVED,DONE_V7,목표3 실천계획서 시트 복제만 잔여 (Hancom),goals_apply,V7: 목표2 원문복원+목표3 기입+시트2 제목 정정 (빈 슬롯 채움 — 구조 무변경)
F19,ISO9001,MGMT_REVIEW,경영 검토서,MIXED,DONE_V7,1.2/1.3/2.1 HUMAN 실측치 외 완료,mgmt_review_apply,V7: 1.1 목표3 불릿+1.2/1.3 운영자 문안+2.1 부적합 2026 정합 적용
F20,ISO9001,QP_EDU,교육훈련계획+결과 x5+자격등록,MIXED,PARTIAL,자격등록 DONE (성윤식·김현주); 교육결과 HUMAN,edu_apply,include 제품허가팀 (2024 new-team finding)
F21,ISO9001,QP_AUDIT,심사계획/일정/결과/점검표,MIXED,DONE_VERIFIED,,audit_apply,V7 검증: 요약·점검표(행11/14/15+2026 비고)·심사요원 이미 2026 차별화 확인 — 잔여 동일문안은 검토서 2.1이었고 F19에서 해소
F22,ISO9001,QP_RISK,위험관리 현황+위험성평가,MIXED,DONE_VERIFIED,,risk_apply,우리비앤비→아티젠테라퓨틱스 반영 확인 (완성도 점검 A)
F23,ISO9001,QP-901-01,성과지표 산출표,CONFIRM,NOT_STARTED,indicator scope + org names decision,kpi_apply,실측값 HUMAN
F24,ISO9001,QP-401-01/02,이슈 현황표+이해관계자 요구사항,CONFIRM,NOT_STARTED,new-org issues need human input,issues_apply,body tables carry; register forms stay per decision
F26,ISO9001,QP-1002-01,지속적 개선요구/통보서 2026판 x3,AUTO_CONTENT_EVOLVED,NOT_STARTED,도너 확보 필요 (절차서 or 품질심사문서 2023/2024),b7_notice_apply,부적합사항=검사결과요약 1:1 전사 (검토세션 §5; b7 스펙)
F27,ISO9001,QP-802-02/QP-902-02,자재 거래업체 평가서+고객만족도 조사서,AUTO_CONTENT_EVOLVED,NOT_STARTED,폼 부재 — Hancom COM InsertFile 필요,b9_form_apply,b9_form_content_spec_2026.md 확정 데이터 기입
F25,BOTH,FINAL_ASSEMBLY,QMS-only parity+layout QA+render+final Hancom review,GATE,BLOCKED_ON_QMS,EMS 종료로 QMS 단독 게이트로 축소,final_assembly,FINAL_SUBMISSION_CANDIDATE only; FINAL_ACCEPTED needs explicit human file
